Filename,Total Tasks,Total Samples,Total Input Characters,Total Output Characters,GPT-3.5-turbo Cost,GPT-4 Cost,GPT-4-turbo Cost,GPT-4o Cost,GPT-4o-2024-08-06 Cost,GPT-4o-mini Cost
baseline,202,2020,614930,1139372,0.3155,13.8681,6.3104,3.1729,2.0108,0.1206
baseline_100,202,20200,6149300,11371001,3.163,139.222,63.2603,31.7998,20.1367,1.2082
pe-01-a,202,2020,675530,1352017,0.3504,15.0922,7.0079,3.5268,2.2612,0.1357
pe-01-b,202,2020,756330,1524378,0.3888,16.7267,7.7756,3.9107,2.5089,0.1505
pe-01-c,202,2020,754310,1464527,0.3727,16.0582,7.4542,3.7485,2.4029,0.1442
pe-02-a,202,2020,776530,1473410,0.3828,16.5812,7.6566,3.8471,2.4588,0.1475
pe-02-b,202,2020,732090,1574781,0.3966,16.9886,7.9326,3.9884,2.565,0.1539
pe-02-c,202,2020,744210,2195932,0.5194,21.9105,10.3887,5.2194,3.3849,0.2031
pe-02-d,202,2020,20015010,1111967,1.7182,98.2056,34.3636,17.1264,8.9726,0.5384
pe-02-e,202,2020,4778150,1125472,0.7245,38.5227,14.4908,7.2226,4.0261,0.2416
pe-02-f,202,2020,721990,1326944,0.3451,14.9206,6.9022,3.4702,2.2201,0.1332
pe-03-a,202,2020,780570,1342978,0.3769,16.7361,7.5371,3.7893,2.3871,0.1432
pe-negative,202,2020,821930,1525752,0.3957,17.2331,7.9131,3.9721,2.5305,0.1518
ptfscg-comprehensive,202,2020,739730,1914520,0.4645,19.8475,9.2909,4.673,3.0095,0.1806
ptfscg-naive-secure,202,2020,641070,1374903,0.3499,15.028,6.9989,3.5212,2.2613,0.1357
ptfscg-persona,202,2020,788650,1660461,0.4084,17.5806,8.1684,4.1032,2.6316,0.1579
ptfscg_cot_answer_extraction-from-ptfscg-zero-shot-cot-step-generation-iteration-1,202,2020,3117720,1046292,1.199378,56.4068,23.98766,12.04419,7.32304,0.4393564
ptfscg_rci-from-baseline-iteration-1,202,2020,3530449,3105082,1.6499915,73.64843,33.00063,16.56519,10.40348,0.6242468
ptfscg_rci-from-baseline-iteration-2,202,2020,4431489,3194223,1.888073,85.70742,37.76196,18.9689,11.7922225,0.70757935
ptfscg_rci-from-baseline-iteration-3,202,2020,4976431,3285632,2.030559,93.14123,40.61218,20.41811,12.6118925,0.75667355
ptfscg_rci-from-pe-03-a-iteration-1,202,2020,3756990,3133282,1.6356935,73.79049,32.71477,16.42035,10.246675,0.6148025
