Filename,Total Tasks,Total Samples,Total Input Characters,Total Output Characters,GPT-3.5-turbo Cost,GPT-4 Cost,GPT-4-turbo Cost,GPT-4o Cost,GPT-4o-2024-08-06 Cost,GPT-4o-mini Cost
baseline,202,2020,614930,4392481,1.073,45.6327,21.4593,10.7893,6.9657,0.4179
pe-01-a,202,2020,675530,5215903,1.1702,48.8053,23.4042,11.8029,7.7014,0.4621
pe-01-b,202,2020,756330,5849748,1.2728,52.5203,25.4564,12.8298,8.4188,0.5051
pe-01-c,202,2020,754310,5756344,1.2451,51.4038,24.9025,12.5625,8.2412,0.4945
pe-02-a,202,2020,776530,5813515,1.2819,53.304,25.6374,12.9363,8.4541,0.5072
pe-02-b,202,2020,732090,5470700,1.2226,51.0211,24.4517,12.3343,8.0454,0.4827
pe-03-a,202,2020,780570,5389678,1.2102,50.7211,24.2033,12.1964,7.9371,0.4762
pe-negative,202,2020,821930,4781826,1.179,51.3661,23.5802,11.8352,7.5386,0.4523
ptfscg_rci-from-baseline-iteration-1,202,2020,7622830,6285744,3.6743,168.1752,73.486,37.0166,22.904,1.3742
ptfscg_rci-from-pe-03-a-iteration-1,202,2020,8372906,6696803,1.8989,87.0196,37.9785,19.1495,11.8406,0.7104
