Filename,Total Tasks,Total Samples,Total Input Characters,Total Output Characters,GPT-3.5-turbo Cost,GPT-4 Cost,GPT-4-turbo Cost,GPT-4o Cost,GPT-4o-2024-08-06 Cost,GPT-4o-mini Cost
baseline,202,2020,614930,4911473,2.6509,116.2863,53.0186,26.6815,16.9291,1.0157
baseline_100,202,20200,6149300,49241366,26.6725,1171.3148,533.4508,268.4277,170.2058,10.2123
pe-01-a,202,2020,675530,5844054,2.9271,126.8167,58.5417,29.5504,18.8831,1.133
pe-01-b,202,2020,756330,6670102,3.1641,134.6045,63.2828,31.9115,20.6004,1.236
pe-01-c,202,2020,754310,6153485,2.9552,126.7681,59.1041,29.8549,19.1845,1.1511
pe-02-a,202,2020,776530,6323289,3.1088,134.6747,62.1769,31.3952,20.0635,1.2038
pe-02-b,202,2020,732090,6079297,3.053,132.4974,61.0608,30.8437,19.6909,1.1815
pe-02-c,202,2020,744210,6571726,2.8906,120.6022,57.8121,29.1012,18.9842,1.1391
pe-02-d,202,2020,20015010,4304419,4.5357,236.7018,90.7145,45.3908,25.6745,1.5405
pe-02-e,202,2020,4778150,4218896,2.7457,129.7212,54.9145,27.5409,16.7136,1.0028
pe-02-f,202,2020,721990,5477649,2.7292,118.0596,54.5847,27.5237,17.6035,1.0562
pe-03-a,202,2020,780570,5872543,2.8644,123.4551,57.2884,28.9089,18.5278,1.1117
pe-negative,202,2020,821930,4969903,2.4885,109.0519,49.7707,24.9915,15.8655,0.9519
ptfscg-comprehensive,202,2020,739730,6748983,2.99,125.225,59.7998,30.253,19.696,1.1818
ptfscg-naive-secure,202,2020,641070,5931670,2.9079,125.3804,58.1582,29.3555,18.8093,1.1286
ptfscg-persona,202,2020,788650,6184284,2.8547,121.3273,57.0937,28.8366,18.6252,1.1175
ptfscg_cot_answer_extraction,202,2020,6926772,5459652,5.527821,242.76764,110.55672,55.84496,35.40869,2.1245694
ptfscg_rci-from-baseline-iteration-1,202,2020,8758993,7085873,6.172226,275.3437,123.44512,62.27066,39.1282175,2.34766705
ptfscg_rci-from-baseline-iteration-2,202,2020,11267828,8407300,6.875649,311.28969,137.51388,69.40983,43.23097,2.5938602
ptfscg_rci-from-baseline-iteration-3,202,2020,13011305,9343237,7.979539,362.72874,159.59008,80.567645,50.0537575,3.00325945
ptfscg_rci-from-pe-03-a-iteration-1,202,2020,9653570,7559951,7.048428,319.86565,140.96836,71.105445,44.2174425,2.65306055
