Filename,Total Tasks,Total Samples,Total Input Characters,Total Output Characters,GPT-3.5-turbo Cost,GPT-4 Cost,GPT-4-turbo Cost,GPT-4o Cost,GPT-4o-2024-08-06 Cost,GPT-4o-mini Cost
baseline,202,2020,614930,4911473,1.3255,58.1432,26.5093,13.3408,8.4645,0.5079
baseline_100,202,20200,6149300,49241366,13.3363,585.6574,266.7254,134.2139,85.1029,5.1062
pe-01-a,202,2020,675530,5844054,1.4635,63.4083,29.2709,14.7752,9.4415,0.5665
pe-01-b,202,2020,756330,6670102,1.5821,67.3023,31.6414,15.9558,10.3002,0.618
pe-01-c,202,2020,754310,6153485,1.4776,63.384,29.552,14.9274,9.5923,0.5755
pe-02-a,202,2020,776530,6323289,1.5544,67.3374,31.0885,15.6976,10.0317,0.6019
pe-02-b,202,2020,732090,6079297,1.5265,66.2487,30.5304,15.4218,9.8455,0.5907
pe-02-c,202,2020,744210,6571726,1.4453,60.3011,28.9061,14.5506,9.4921,0.5695
pe-02-d,202,2020,20015010,4304419,2.2679,118.3509,45.3572,22.6954,12.8373,0.7702
pe-02-e,202,2020,4778150,4218896,1.3729,64.8606,27.4573,13.7704,8.3568,0.5014
pe-02-f,202,2020,721990,5477649,1.3646,59.0298,27.2924,13.7619,8.8017,0.5281
pe-03-a,202,2020,780570,5872543,1.4322,61.7276,28.6442,14.4545,9.2639,0.5558
pe-negative,202,2020,821930,4969903,1.2443,54.5259,24.8854,12.4958,7.9328,0.476
ptfscg-comprehensive,202,2020,739730,6748983,1.495,62.6125,29.8999,15.1265,9.848,0.5909
ptfscg-naive-secure,202,2020,641070,5931670,1.454,62.6902,29.0791,14.6777,9.4046,0.5643
ptfscg-persona,202,2020,788650,6184284,1.4273,60.6637,28.5469,14.4183,9.3126,0.5588
ptfscg_cot_answer_extraction,202,2020,6926772,5459652,3.862421,165.49594,77.24852,39.01356,25.08409,1.5050694
ptfscg_rci-from-baseline-iteration-1,202,2020,8758993,7085873,4.165926,183.3839,83.31882,42.00166,26.5971175,1.59586705
ptfscg_rci-from-baseline-iteration-2,202,2020,11267828,8407300,4.445949,199.20629,88.91948,44.84223,28.10177,1.6860602
ptfscg_rci-from-baseline-iteration-3,202,2020,13011305,9343237,5.241939,236.01704,104.83948,52.869645,33.0332575,1.98195945
ptfscg_rci-from-pe-03-a-iteration-1,202,2020,9653570,7559951,4.891028,220.71575,97.82146,49.295845,30.7559425,1.84536055
